State,Bedroom,Bathroom,Area,LotArea,Latitude,Longitude,ListedPrice
8,3.0,2.0,1981.0,0.15,29.944723,-85.41387,1499000.0
42,4.0,4.0,4844.0,3.13,40.492474,-111.35993,1496000.0
37,3.0,2.0,1397.0,1.0412534435261709,41.17286,-71.57328,1495000.0
8,4.0,5.0,3922.0,0.1193985307621671,26.876654,-80.11412,1495000.0
3,5.0,4.0,4246.0,0.3405876951331497,33.29386,-112.07896,1495000.0
44,3.0,3.0,1769.0,0.3,44.477207,-73.218506,1495000.0
3,4.0,3.5,3747.0,1.303,33.83899,-112.13298,1475000.0
31,4.0,4.0,2271.0,0.2799999999999999,36.167225,-115.37717,1475000.0
44,4.0,5.0,4062.0,10.1,44.48992,-72.62824,1475000.0
14,5.0,5.0,4095.0,0.4,37.730995,-97.397804,1474900.0
17,5.0,4.0,2577.0,0.1365932047750229,42.455437,-71.12928,1450000.0
17,3.0,5.0,3790.0,0.177089072543618,42.07002,-71.75801,1450000.0
28,4.0,2.0,1833.0,0.74,43.5556,-71.48258,1450000.0
4,4.0,3.0,2434.0,0.1421487603305785,33.818176,-118.35621,1450000.0
35,4.0,5.0,3626.0,0.3300045913682277,44.270733,-121.30252,1450000.0
24,4.0,3.0,3497.0,10.62,46.62236,-111.754326,1449900.0
17,5.0,2.0,2628.0,0.1312442607897153,42.311737,-71.12111,1449900.0
28,3.0,3.0,1942.0,0.1399999999999999,43.06399,-70.76906,1449000.0
24,2.0,2.0,1155.0,0.3,48.410847,-114.34652,1428000.0
29,6.0,7.0,8000.0,8.37,40.66336,-74.81634,1425000.0
17,4.0,3.0,1914.0,0.396694214876033,42.294872,-71.319916,1425000.0
39,4.0,4.0,5810.0,4.5,44.038967,-103.2836,1415000.0
28,3.0,3.0,2882.0,0.15,42.9449,-70.78895,1400000.0
4,4.0,4.0,3571.0,2.27,33.308342,-117.21003,1399900.0
13,4.0,3.0,4070.0,0.62,39.90577,-86.14927,1399000.0
6,4.0,5.0,6636.0,2.02,41.79305,-72.82493,1399000.0
4,4.0,2.0,1587.0,0.1252,34.025616,-118.38807,1399000.0
24,4.0,3.0,4170.0,0.6,45.59444,-111.044044,1399000.0
45,4.0,3.0,3220.0,0.1338,47.673656,-122.283875,1398500.0
24,5.0,3.0,3240.0,10.0,48.264812,-114.28849,1398000.0
4,3.0,1.0,1027.0,0.1626721763085399,37.39668,-122.02355,1398000.0
19,3.0,2.0,1473.0,1.97,43.76677,-69.31749,1395000.0
4,3.0,3.0,1776.0,0.0,38.618465,-122.859314,1395000.0
17,4.0,3.0,2567.0,0.18955463728191,42.28384,-71.14802,1389000.0
4,3.0,2.0,1564.0,0.1378328741965105,34.015026,-118.32538,1385000.0
5,5.0,5.0,4063.0,0.1919421487603305,39.91486,-105.16122,1380000.0
